dataset,model,strategy,k_pct,mean_mape,mean_mse,std_mape,median_mape,mean_rmse,mean_selection_time_s,mean_train_time_s,mean_predict_time_s,mean_total_time_s
Communities and Crime,ridge,shap,0.5,1690665392635.7056,0.01917004914276345,2031761600190.173,757287044639.6333,0.13807292312937536,0.15716646503991338,0.0036422007600139684,9.544247999655441e-05,0.16091374771981914
Communities and Crime,ridge,shap,0.75,1793535212839.4175,0.018834642240669993,2105662013513.817,802203958048.6252,0.13685308718041825,0.15716646503991338,0.004783821159971876,0.0003364284599365161,0.16229628389993192
Communities and Crime,ridge,shap,1.0,1969071267102.593,0.01857845232817685,2173799618019.036,1084546038028.6748,0.13593818708589514,0.0,0.13934023026004067,0.00017048134002829,0.13951979198004205
Communities and Crime,ridge,tree,0.05,1709437927643.3152,0.02114572204156235,483642261482.41187,1669826374739.869,0.14539990360519253,1.4278951175001566,0.000707111499650575,7.821024973964086e-05,1.4286911470007908
Communities and Crime,ridge,tree,0.15,1359202330069.0256,0.019142955452202425,224635692513.7256,1386943825560.867,0.13834838251065606,1.4278951175001566,0.009646848750889999,8.406900087720715e-05,1.4376308840001002
Communities and Crime,ridge,tree,0.25,1496156650828.5757,0.019062650571128537,1904206122509.3577,850683450413.7098,0.137640880715222,2.5183671071599885,0.0012878127800649342,8.48743800315747e-05,2.5197549830999786
Communities and Crime,ridge,tree,0.5,1552858896094.5037,0.018973961907831967,1967849459146.777,630816799384.0522,0.13733344296386782,2.5183671071599885,0.004063628220032974,0.00010375975999975571,2.5225448479400576
Communities and Crime,ridge,tree,0.75,1825336763350.0662,0.018739198521841065,2131140300033.9226,817780429322.9895,0.13652385148199275,2.5183671071599885,0.004629008059973736,0.00010364047997425301,2.5231094112399206
Communities and Crime,ridge,tree,1.0,1969071267102.593,0.01857845232817685,2173799618019.036,1084546038028.6748,0.13593818708589514,0.0,0.13934023026004067,0.00017048134002829,0.13951979198004205
Communities and Crime,xgboost,mi,0.05,1803308119878.039,0.0223056413026894,429852503665.79877,1703030156544.5295,0.14934595128627856,0.9757853487508328,1.2604874682501759,0.10400411975024325,2.3479394917512764
Communities and Crime,xgboost,mi,0.15,1797862311748.6035,0.02100526782211665,772765847662.7085,1699273711099.6724,0.14492463444622936,0.9757853487508328,0.9582365870001013,0.10143003775010581,2.040811805502017
Communities and Crime,xgboost,mi,0.25,1824301143036.224,0.019495517375255414,2123465293848.1675,929565251869.2086,0.13915305406344564,1.5146134935800273,0.974175284239991,0.07924935050002656,2.5739343970399795
Communities and Crime,xgboost,mi,0.5,2025900642269.463,0.019146277770157406,2399712096561.145,1006307363979.7006,0.13790732786176624,1.5146134935800273,0.9438776628399591,0.0753094326800055,2.5395109459800143
Communities and Crime,xgboost,mi,0.75,2030164382597.0146,0.018994020751158084,2384324653137.4956,911630246094.5764,0.1373591802459955,1.5146134935800273,1.046000774060035,0.08018336971996629,2.6467329821800103
Communities and Crime,xgboost,mi,1.0,2301155008425.207,0.01909992099728929,2730935436947.621,1006957544330.407,0.13778268955113587,0.0,1.183305288259985,0.08328970666004348,1.2728017751200378
Communities and Crime,xgboost,rfe,0.05,2085171546779.2183,0.024105559039670175,905608427228.4894,1990458834583.286,0.15524538428043655,0.7653655055009949,1.0141185014990697,0.08804321625029837,1.8750948020006035
Communities and Crime,xgboost,rfe,0.15,1982265527541.1172,0.021217527093268376,1076031741489.0676,1984318878358.2188,0.14564623797954532,0.7653655055009949,1.0384440737489058,0.06921968800088503,1.8766576570014877
Communities and Crime,xgboost,rfe,0.25,1716648000031.7017,0.019847917413435515,1938599349438.6548,930494581488.0272,0.14043678348032893,0.9469020624000041,0.8322745336000571,0.07211532188000996,1.8573051093799768
Communities and Crime,xgboost,rfe,0.5,2015875803921.8005,0.019386040953902194,2303237172035.403,888603137750.2507,0.13883660701289674,0.9469020624000041,0.9392976912600216,0.07733469560002044,1.9695266342799278
Communities and Crime,xgboost,rfe,0.75,2181306553159.1006,0.019013088854049225,2559462522661.5415,876902757896.4856,0.1374423344824451,0.9469020624000041,1.092951215460016,0.0819971882999925,2.127827284079958
