dataset,model,strategy,k_pct,mean_mape,mean_mse,std_mape,median_mape,mean_rmse,mean_selection_time_s,mean_train_time_s,mean_predict_time_s,mean_total_time_s
Allstate Claims Severity,ridge,rfe,0.25,0.7265200828656062,4562268.648996423,0.040527176159804626,0.7113507535374826,2134.9730624113613,0.36699093979550523,0.03776129472535098,0.00207028406439344,0.4068453251966275
Allstate Claims Severity,ridge,rfe,0.5,0.7067386762563539,4433943.048165606,0.03936290240933068,0.6864239080323056,2104.735198795057,0.36699093979550523,0.07769531473362193,0.0034943107399157737,0.4482073270676968
Allstate Claims Severity,ridge,rfe,0.75,0.7045749939196458,4421771.810070383,0.04288305840981277,0.6847415397520207,2104.726441022382,0.18402643850381795,0.14645182280879546,0.0066980835921558795,0.33717634490476933
Allstate Claims Severity,ridge,rfe,1.0,0.6992661947893687,4372325.798648859,0.0401219791540378,0.6797732195145492,2090.067727865751,0.0,0.21278186073759567,0.009774632391054146,0.222580754411562
Allstate Claims Severity,ridge,shap,0.25,0.8055262636149425,5321187.265607419,0.07767629287815271,0.776418919290244,2305.2695993970096,0.012056590057909445,0.034672558206754384,0.0029609576643754598,0.04971058331818004
Allstate Claims Severity,ridge,shap,0.5,0.7283136008879313,4675461.846580114,0.043334509902630235,0.7119954051130396,2161.259257364458,0.012056590057909445,0.07792255806659032,0.0033489234590281533,0.09335470445609337
Allstate Claims Severity,ridge,shap,0.75,0.7162424441687407,4552720.1387845725,0.04178486724994709,0.7020880991429136,2103.2050206872623,0.006058098097888393,0.1399210223422437,0.0068706231973112465,0.15284974363744344
Allstate Claims Severity,ridge,shap,1.0,0.6992661947893687,4372325.798648859,0.0401219791540378,0.6797732195145492,2090.067727865751,0.0,0.20029176919876285,0.010283536467856359,0.21059662793219705
Allstate Claims Severity,ridge,tree,0.25,0.7564135941952005,4682302.739031661,0.05611919668389883,0.7372957364655388,2163.019598709638,0.9230803815298714,0.039768933733769954,0.0022328363265841865,0.9651057775442798
Allstate Claims Severity,ridge,tree,0.5,0.7132811364055548,4439794.716658031,0.0449795973349014,0.6921265960456173,2106.1076213221336,0.9230803815298714,0.08481792719879493,0.0032797687958615067,1.0112037589307874
Allstate Claims Severity,ridge,tree,0.75,0.6988778672251761,4354059.81300036,0.04581554606402719,0.684274499904802,2107.0481833184126,0.45895029357716316,0.15540106166758114,0.0060110925444121065,0.6203624477891565
Allstate Claims Severity,ridge,tree,1.0,0.6992661947893687,4372325.798648859,0.0401219791540378,0.6797732195145492,2090.067727865751,0.0,0.22134791986706354,0.008689880386615747,0.2300583519429589
Allstate Claims Severity,xgboost,mi,0.25,0.6609580304307677,4068938.9762859554,0.03417593918903541,0.6594998896891355,2016.1281664949852,1.1582982401441162,1.1235830262574988,0.03920606940131008,2.3235394958794737
